order_id,customer_id,product_id,order_date,quantity,unit_price,discount,region_x,status,revenue,name,age,gender,city,region_y,signup_date,membership_tier,signup_year,tenure_days,age_group,tenure_months,product_name,category,cost_price,selling_price,stock_available,profit,margin,inventory_cost,inventory_revenue,inventory_risk,inventory_risk_label,price_bucket
ORD10001,C1011,P039,2022-12-25,3,22.99,0.0,South,Completed,68.97,Nisha Gupta,48,Female,Chennai,South,2021-10-17,Platinum,2021,244,36-50,8.133333333333333,Kids Painting Kit,Toys & Games,8.0,22.99,88,14.989999999999998,0.6520226185297956,704.0,2023.12,False,Normal,Low Price
ORD10002,C1045,P003,2023-08-11,1,54.99,0.0,West,Completed,54.99,Manish Patel,35,Female,Mumbai,West,2021-11-18,Platinum,2021,212,26-35,7.066666666666666,Denim Jeans,Apparel,18.0,54.99,378,36.99,0.6726677577741408,6804.0,20786.22,False,Normal,Mid Price
ORD10003,C1122,P010,2023-09-29,2,39.99,0.0,North,Returned,79.98,Rahul Krishnan,32,Female,Jaipur,North,2020-06-09,Silver,2020,739,26-35,24.633333333333333,USB-C Hub,Electronics,15.0,39.99,151,24.99,0.6249062265566392,2265.0,6038.490000000001,False,Normal,Mid Price
ORD10004,C1194,P012,2023-11-05,3,44.99,0.0,North,Completed,134.97,Divya Mishra,44,Female,Chandigarh,North,2020-11-16,Gold,2020,579,36-50,19.3,Portable Charger,Electronics,18.0,44.99,244,26.99,0.5999110913536342,4392.0,10977.56,False,Normal,Mid Price
ORD10005,C1170,P022,2023-12-21,3,11.99,0.0,North,Completed,35.97,Jyoti Kumar,54,Female,Jaipur,North,2022-03-20,Gold,2022,90,50+,3.0,A4 Printer Paper,Stationery,4.0,11.99,338,7.99,0.6663886572143453,1352.0,4052.62,False,Normal,Low Price
ORD10006,C1090,P001,2022-07-05,3,19.99,0.0,South,Completed,59.97,Pooja Mehta,35,Female,Bangalore,South,2020-08-04,Gold,2020,683,26-35,22.766666666666666,Cotton Kurta,Apparel,8.0,19.99,132,11.989999999999998,0.599799899949975,1056.0,2638.68,False,Normal,Low Price
ORD10007,C1187,P016,2022-05-26,2,54.99,0.0,East,Completed,109.98,Geeta Reddy,51,Male,Patna,East,2021-05-30,Silver,2021,384,50+,12.8,Dumbell Pair 5kg,Sports & Fitness,20.0,54.99,402,34.99,0.6362975086379342,8040.0,22105.98,False,Normal,Mid Price
ORD10008,C1078,P001,2023-06-28,1,19.99,0.0,East,Completed,19.99,Ritu Pandey,54,Female,Patna,East,2021-09-19,Platinum,2021,272,50+,9.066666666666666,Cotton Kurta,Apparel,8.0,19.99,132,11.989999999999998,0.599799899949975,1056.0,2638.68,False,Normal,Low Price
ORD10009,C1045,P007,2023-01-14,1,210.0,0.05,West,Completed,199.5,Manish Patel,35,Female,Mumbai,West,2021-11-18,Platinum,2021,212,26-35,7.066666666666666,Smartwatch Pro,Electronics,95.0,210.0,218,115.0,0.5476190476190477,20710.0,45780.0,False,Normal,High Price
ORD10010,C1136,P017,2022-06-09,1,29.99,0.0,North,Completed,29.99,Nikhil Joshi,26,Female,Delhi,North,2021-11-04,Gold,2021,226,26-35,7.533333333333333,Cycling Gloves,Sports & Fitness,10.0,29.99,129,19.99,0.6665555185061687,1290.0,3868.71,False,Normal,Low Price
ORD10011,C1165,P005,2022-10-06,1,99.99,0.0,North,Completed,99.99,Siddharth Krishnan,35,Male,Chandigarh,North,2021-10-04,Platinum,2021,257,26-35,8.566666666666666,Winter Jacket,Apparel,35.0,99.99,136,64.99,0.6499649964996499,4760.0,13598.64,False,Normal,High Price
ORD10012,C1078,P005,2023-03-01,1,99.99,0.0,East,Returned,99.99,Ritu Pandey,54,Female,Patna,East,2021-09-19,Platinum,2021,272,50+,9.066666666666666,Winter Jacket,Apparel,35.0,99.99,136,64.99,0.6499649964996499,4760.0,13598.64,False,Normal,High Price
ORD10013,C1150,P011,2023-03-17,1,159.99,0.0,North,Completed,159.99,Naveen Nair,52,Female,Delhi,North,2022-01-09,Silver,2022,160,50+,5.333333333333333,Noise Cancelling Earbuds,Electronics,80.0,159.99,496,79.99000000000001,0.4999687480467529,39680.0,79355.04000000001,True,High Risk,High Price
ORD10014,C1042,P016,2023-06-24,2,54.99,0.2,East,Completed,87.98400000000001,Pooja Rao,23,Male,Kolkata,East,2020-05-02,Gold,2020,777,18-25,25.9,Dumbell Pair 5kg,Sports & Fitness,20.0,54.99,402,34.99,0.6362975086379342,8040.0,22105.98,False,Normal,Mid Price
ORD10015,C1008,P031,2022-02-26,1,49.99,0.0,South,Completed,49.99,Nandini Rao,21,Male,Hyderabad,South,2020-03-22,Silver,2020,818,18-25,27.266666666666666,Non-stick Pan,Home & Kitchen,18.0,49.99,190,31.99,0.6399279855971194,3420.0,9498.1,False,Normal,Mid Price
ORD10016,C1090,P010,2022-05-21,3,39.99,0.0,South,Completed,119.97,Pooja Mehta,35,Female,Bangalore,South,2020-08-04,Gold,2020,683,26-35,22.766666666666666,USB-C Hub,Electronics,15.0,39.99,151,24.99,0.6249062265566392,2265.0,6038.490000000001,False,Normal,Mid Price
ORD10017,C1183,P025,2023-05-25,2,24.99,0.2,West,Completed,39.984,Divya Iyer,19,Female,Mumbai,West,2020-05-13,Gold,2020,766,18-25,25.53333333333333,Sunscreen SPF50,Beauty & Personal Care,7.0,24.99,443,17.99,0.7198879551820728,3101.0,11070.57,False,Normal,Low Price
ORD10018,C1068,P016,2022-08-24,2,54.99,0.0,South,Completed,109.98,Karan Sinha,43,Male,Hyderabad,South,2021-02-19,Gold,2021,484,36-50,16.133333333333333,Dumbell Pair 5kg,Sports & Fitness,20.0,54.99,402,34.99,0.6362975086379342,8040.0,22105.98,False,Normal,Mid Price
ORD10019,C1103,P038,2022-03-15,1,64.99,0.0,North,Completed,64.99,Tanvi Singh,39,Male,Jaipur,North,2020-10-12,Gold,2020,614,36-50,20.466666666666665,Remote Control Car,Toys & Games,22.0,64.99,78,42.99,0.6614863825203877,1716.0,5069.219999999999,False,Normal,High Price
ORD10020,C1167,P026,2023-04-16,4,19.99,0.0,West,Completed,79.96,Ananya Verma,39,Female,Pune,West,2020-07-24,Silver,2020,694,36-50,23.133333333333333,Hair Serum,Beauty & Personal Care,6.0,19.99,323,13.989999999999998,0.6998499249624812,1938.0,6456.77,False,Normal,Low Price
ORD10021,C1107,P016,2023-08-11,1,54.99,0.0,East,Completed,54.99,Kunal Sinha,50,Male,Guwahati,East,2021-10-23,Platinum,2021,238,36-50,7.933333333333334,Dumbell Pair 5kg,Sports & Fitness,20.0,54.99,402,34.99,0.6362975086379342,8040.0,22105.98,False,Normal,Mid Price
ORD10022,C1192,P017,2023-02-19,1,29.99,0.2,North,Completed,23.992,Varun Mishra,51,Female,Chandigarh,North,2022-03-23,Platinum,2022,87,50+,2.9,Cycling Gloves,Sports & Fitness,10.0,29.99,129,19.99,0.6665555185061687,1290.0,3868.71,False,Normal,Low Price
ORD10023,C1054,P008,2023-01-06,1,89.99,0.0,North,Completed,89.99,Ankita Shah,19,Male,Jaipur,North,2021-12-08,Silver,2021,192,18-25,6.4,Bluetooth Speaker,Electronics,40.0,89.99,50,49.99,0.5555061673519279,2000.0,4499.5,False,Normal,High Price
ORD10024,C1033,P001,2023-08-27,1,19.99,0.15,North,Completed,16.9915,Suresh Mishra,22,Male,Lucknow,North,2021-02-16,Platinum,2021,487,18-25,16.233333333333334,Cotton Kurta,Apparel,8.0,19.99,132,11.989999999999998,0.599799899949975,1056.0,2638.68,False,Normal,Low Price
ORD10025,C1085,P010,2022-08-15,1,39.99,0.0,East,Completed,39.99,Amit Chopra,20,Female,Guwahati,East,2020-01-07,Silver,2020,893,18-25,29.766666666666666,USB-C Hub,Electronics,15.0,39.99,151,24.99,0.6249062265566392,2265.0,6038.490000000001,False,Normal,Mid Price
ORD10026,C1059,P001,2022-04-27,2,19.99,0.0,North,Completed,39.98,Pranav Patel,36,Male,Chandigarh,North,2021-01-26,Silver,2021,508,36-50,16.933333333333334,Cotton Kurta,Apparel,8.0,19.99,132,11.989999999999998,0.599799899949975,1056.0,2638.68,False,Normal,Low Price
ORD10027,C1039,P024,2022-12-26,2,29.99,0.0,West,Completed,59.98,Varun Sinha,54,Female,Mumbai,West,2020-07-13,Silver,2020,705,50+,23.5,Face Moisturiser,Beauty & Personal Care,9.0,29.99,373,20.99,0.6998999666555519,3357.0,11186.27,False,Normal,Low Price
ORD10028,C1155,P017,2022-08-30,1,29.99,0.0,South,Completed,29.99,Nandini Nair,47,Male,Hyderabad,South,2020-01-30,Silver,2020,870,36-50,29.0,Cycling Gloves,Sports & Fitness,10.0,29.99,129,19.99,0.6665555185061687,1290.0,3868.71,False,Normal,Low Price
ORD10029,C1183,P019,2022-06-06,3,9.99,0.0,West,Completed,29.97,Divya Iyer,19,Female,Mumbai,West,2020-05-13,Gold,2020,766,18-25,25.53333333333333,Notebook Set 5pk,Stationery,3.5,9.99,181,6.49,0.6496496496496497,633.5,1808.19,False,Normal,Low Price
ORD10030,C1181,P031,2023-10-06,1,49.99,0.0,West,Completed,49.99,Sachin Sharma,22,Female,Surat,West,2020-05-08,Gold,2020,771,18-25,25.7,Non-stick Pan,Home & Kitchen,18.0,49.99,190,31.99,0.6399279855971194,3420.0,9498.1,False,Normal,Mid Price
ORD10031,C1090,P003,2023-04-05,2,54.99,0.0,South,Completed,109.98,Pooja Mehta,35,Female,Bangalore,South,2020-08-04,Gold,2020,683,26-35,22.766666666666666,Denim Jeans,Apparel,18.0,54.99,378,36.99,0.6726677577741408,6804.0,20786.22,False,Normal,Mid Price
ORD10032,C1075,P021,2023-10-02,1,7.99,0.0,West,Completed,7.99,Amit Agarwal,44,Male,Mumbai,West,2021-11-02,Platinum,2021,228,36-50,7.6,Sticky Notes Bulk,Stationery,2.5,7.99,179,5.49,0.6871088861076345,447.5,1430.21,False,Normal,Low Price
ORD10033,C1132,P017,2023-03-27,1,29.99,0.0,West,Completed,29.99,Harish Pandey,47,Female,Pune,West,2021-08-22,Gold,2021,300,36-50,10.0,Cycling Gloves,Sports & Fitness,10.0,29.99,129,19.99,0.6665555185061687,1290.0,3868.71,False,Normal,Low Price
ORD10034,C1054,P015,2022-10-09,2,24.99,0.0,North,Completed,49.98,Ankita Shah,19,Male,Jaipur,North,2021-12-08,Silver,2021,192,18-25,6.4,Resistance Bands Set,Sports & Fitness,8.0,24.99,117,16.99,0.6798719487795117,936.0,2923.83,False,Normal,Low Price
ORD10035,C1077,P038,2023-04-18,1,64.99,0.15,North,Returned,55.2415,Neha Mishra,22,Male,Chandigarh,North,2021-04-12,Silver,2021,432,18-25,14.4,Remote Control Car,Toys & Games,22.0,64.99,78,42.99,0.6614863825203877,1716.0,5069.219999999999,False,Normal,High Price
ORD10036,C1168,P025,2022-04-03,2,24.99,0.0,West,Completed,49.98,Vishal Reddy,52,Female,Pune,West,2020-09-20,Gold,2020,636,50+,21.2,Sunscreen SPF50,Beauty & Personal Care,7.0,24.99,443,17.99,0.7198879551820728,3101.0,11070.57,False,Normal,Low Price
ORD10037,C1046,P007,2023-07-22,5,210.0,0.0,North,Returned,1050.0,Swati Mishra,39,Male,Delhi,North,2021-04-14,Gold,2021,430,36-50,14.333333333333334,Smartwatch Pro,Electronics,95.0,210.0,218,115.0,0.5476190476190477,20710.0,45780.0,False,Normal,High Price
ORD10038,C1010,P024,2023-08-09,2,29.99,0.2,West,Completed,47.984,Rajesh Krishnan,36,Male,Pune,West,2021-06-30,Platinum,2021,353,36-50,11.766666666666667,Face Moisturiser,Beauty & Personal Care,9.0,29.99,373,20.99,0.6998999666555519,3357.0,11186.27,False,Normal,Low Price
ORD10039,C1023,P011,2022-03-05,1,159.99,0.0,West,Completed,159.99,Sunita Verma,34,Male,Surat,West,2022-06-18,Gold,2022,0,26-35,0.0,Noise Cancelling Earbuds,Electronics,80.0,159.99,496,79.99000000000001,0.4999687480467529,39680.0,79355.04000000001,True,High Risk,High Price
ORD10040,C1040,P033,2022-03-28,2,59.99,0.0,South,Completed,119.98,Meera Mehta,53,Male,Bangalore,South,2020-02-28,Silver,2020,841,50+,28.03333333333333,Bedsheet Set,Home & Kitchen,20.0,59.99,343,39.99,0.6666111018503084,6860.0,20576.57,False,Normal,High Price
ORD10041,C1095,P016,2023-03-25,5,54.99,0.0,South,Completed,274.95,Mohit Krishnan,48,Female,Kochi,South,2020-06-20,Gold,2020,728,36-50,24.266666666666666,Dumbell Pair 5kg,Sports & Fitness,20.0,54.99,402,34.99,0.6362975086379342,8040.0,22105.98,False,Normal,Mid Price
ORD10042,C1138,P004,2023-01-08,1,79.99,0.0,South,Completed,79.99,Tarun Mishra,22,Male,Chennai,South,2021-07-16,Silver,2021,337,18-25,11.233333333333333,Ethnic Saree,Apparel,22.0,79.99,300,57.99,0.7249656207025879,6600.0,23997.0,False,Normal,High Price
ORD10043,C1120,P015,2022-12-13,2,24.99,0.0,East,Returned,49.98,Deepa Shah,45,Male,Kolkata,East,2021-04-06,Gold,2021,438,36-50,14.6,Resistance Bands Set,Sports & Fitness,8.0,24.99,117,16.99,0.6798719487795117,936.0,2923.83,False,Normal,Low Price
ORD10044,C1041,P036,2022-04-07,2,39.99,0.0,North,Completed,79.98,Tanvi Agarwal,51,Male,Lucknow,North,2021-06-04,Silver,2021,379,50+,12.633333333333333,Board Game,Toys & Games,14.0,39.99,265,25.99,0.6499124781195299,3710.0,10597.35,False,Normal,Mid Price
ORD10045,C1118,P023,2023-11-04,5,22.99,0.0,East,Completed,114.95,Harish Nair,23,Female,Guwahati,East,2020-03-16,Gold,2020,824,18-25,27.466666666666665,Desk Organiser,Stationery,8.0,22.99,287,14.989999999999998,0.6520226185297956,2296.0,6598.129999999999,False,Normal,Low Price
ORD10046,C1175,P018,2022-03-25,2,14.99,0.15,North,Completed,25.483,Arjun Verma,50,Male,Chandigarh,North,2020-08-28,Gold,2020,659,36-50,21.966666666666665,Protein Shaker,Sports & Fitness,5.0,14.99,389,9.99,0.666444296197465,1945.0,5831.11,False,Normal,Low Price
ORD10047,C1060,P003,2023-11-03,2,54.99,0.0,South,Completed,109.98,Harish Patel,31,Female,Kochi,South,2020-11-08,Silver,2020,587,26-35,19.566666666666663,Denim Jeans,Apparel,18.0,54.99,378,36.99,0.6726677577741408,6804.0,20786.22,False,Normal,Mid Price
ORD10048,C1092,P006,2022-03-28,1,129.99,0.0,South,Completed,129.99,Harish Sharma,53,Male,Kochi,South,2020-08-17,Platinum,2020,670,50+,22.33333333333333,Wireless Headphones,Electronics,65.0,129.99,101,64.99000000000001,0.499961535502731,6565.0,13128.990000000002,False,Normal,High Price
ORD10049,C1084,P033,2022-05-11,2,59.99,0.0,West,Completed,119.98,Vishal Mishra,45,Male,Ahmedabad,West,2022-05-02,Gold,2022,47,36-50,1.5666666666666669,Bedsheet Set,Home & Kitchen,20.0,59.99,343,39.99,0.6666111018503084,6860.0,20576.57,False,Normal,High Price
ORD10050,C1068,P004,2023-12-03,4,79.99,0.2,South,Completed,255.968,Karan Sinha,43,Male,Hyderabad,South,2021-02-19,Gold,2021,484,36-50,16.133333333333333,Ethnic Saree,Apparel,22.0,79.99,300,57.99,0.7249656207025879,6600.0,23997.0,False,Normal,High Price
ORD10051,C1074,P034,2022-01-19,1,39.99,0.1,West,Completed,35.991,Komal Rao,48,Female,Ahmedabad,West,2022-01-05,Platinum,2022,164,36-50,5.466666666666667,LED Desk Lamp,Home & Kitchen,15.0,39.99,51,24.99,0.6249062265566392,765.0,2039.49,False,Normal,Mid Price
ORD10052,C1053,P019,2023-05-13,1,9.99,0.0,East,Completed,9.99,Divya Iyer,35,Male,Patna,East,2021-07-18,Platinum,2021,335,26-35,11.166666666666666,Notebook Set 5pk,Stationery,3.5,9.99,181,6.49,0.6496496496496497,633.5,1808.19,False,Normal,Low Price
ORD10053,C1000,P009,2022-10-30,3,49.99,0.05,West,Completed,142.4715,Tarun Nair,20,Female,Surat,West,2020-08-16,Silver,2020,671,18-25,22.366666666666667,Laptop Stand,Electronics,20.0,49.99,132,29.99,0.5999199839967994,2640.0,6598.68,False,Normal,Mid Price
ORD10054,C1063,P005,2023-09-25,1,99.99,0.0,North,Completed,99.99,Nikhil Gupta,35,Male,Chandigarh,North,2021-09-02,Gold,2021,289,26-35,9.633333333333333,Winter Jacket,Apparel,35.0,99.99,136,64.99,0.6499649964996499,4760.0,13598.64,False,Normal,High Price
ORD10055,C1106,P012,2023-12-11,3,44.99,0.0,West,Completed,134.97,Divya Singh,36,Male,Ahmedabad,West,2020-03-28,Silver,2020,812,36-50,27.066666666666663,Portable Charger,Electronics,18.0,44.99,244,26.99,0.5999110913536342,4392.0,10977.56,False,Normal,Mid Price
ORD10056,C1137,P007,2023-03-25,1,210.0,0.0,South,Completed,210.0,Ritu Sinha,22,Male,Kochi,South,2021-09-29,Gold,2021,262,18-25,8.733333333333333,Smartwatch Pro,Electronics,95.0,210.0,218,115.0,0.5476190476190477,20710.0,45780.0,False,Normal,High Price
ORD10057,C1048,P005,2023-03-31,2,99.99,0.0,West,Completed,199.98,Vikram Patel,42,Female,Pune,West,2021-03-24,Gold,2021,451,36-50,15.033333333333331,Winter Jacket,Apparel,35.0,99.99,136,64.99,0.6499649964996499,4760.0,13598.64,False,Normal,High Price
ORD10058,C1044,P015,2022-08-28,2,24.99,0.2,West,Completed,39.984,Mohit Pandey,39,Female,Ahmedabad,West,2021-11-16,Platinum,2021,214,36-50,7.133333333333334,Resistance Bands Set,Sports & Fitness,8.0,24.99,117,16.99,0.6798719487795117,936.0,2923.83,False,Normal,Low Price
ORD10059,C1081,P002,2022-07-18,1,34.99,0.0,West,Completed,34.99,Shreya Mishra,23,Female,Surat,West,2020-10-05,Silver,2020,621,18-25,20.7,Formal Shirt,Apparel,12.0,34.99,465,22.99,0.6570448699628465,5580.0,16270.35,False,Normal,Mid Price
ORD10060,C1050,P007,2023-04-18,3,210.0,0.0,West,Completed,630.0,Rohan Singh,26,Male,Mumbai,West,2020-10-05,Silver,2020,621,26-35,20.7,Smartwatch Pro,Electronics,95.0,210.0,218,115.0,0.5476190476190477,20710.0,45780.0,False,Normal,High Price
ORD10061,C1138,P024,2023-03-05,5,29.99,0.0,South,Completed,149.95,Tarun Mishra,22,Male,Chennai,South,2021-07-16,Silver,2021,337,18-25,11.233333333333333,Face Moisturiser,Beauty & Personal Care,9.0,29.99,373,20.99,0.6998999666555519,3357.0,11186.27,False,Normal,Low Price
ORD10062,C1030,P040,2022-05-22,4,27.99,0.2,East,Completed,89.568,Vikram Pandey,34,Female,Guwahati,East,2020-08-07,Gold,2020,680,26-35,22.666666666666668,Jigsaw Puzzle 1000pc,Toys & Games,9.0,27.99,199,18.99,0.6784565916398714,1791.0,5570.009999999999,False,Normal,Low Price
ORD10063,C1053,P039,2023-07-22,4,22.99,0.0,East,Completed,91.96,Divya Iyer,35,Male,Patna,East,2021-07-18,Platinum,2021,335,26-35,11.166666666666666,Kids Painting Kit,Toys & Games,8.0,22.99,88,14.989999999999998,0.6520226185297956,704.0,2023.12,False,Normal,Low Price
ORD10064,C1082,P001,2022-05-08,1,19.99,0.0,West,Completed,19.99,Manish Shah,24,Male,Mumbai,West,2020-08-24,Gold,2020,663,18-25,22.1,Cotton Kurta,Apparel,8.0,19.99,132,11.989999999999998,0.599799899949975,1056.0,2638.68,False,Normal,Low Price
ORD10065,C1071,P018,2023-06-10,1,14.99,0.0,South,Completed,14.99,Gaurav Agarwal,29,Male,Hyderabad,South,2021-06-11,Platinum,2021,372,26-35,12.4,Protein Shaker,Sports & Fitness,5.0,14.99,389,9.99,0.666444296197465,1945.0,5831.11,False,Normal,Low Price
ORD10066,C1135,P014,2022-08-16,3,89.99,0.0,East,Completed,269.97,Varun Kumar,54,Male,Patna,East,2020-03-31,Silver,2020,809,50+,26.966666666666665,Running Shoes,Sports & Fitness,40.0,89.99,488,49.99,0.5555061673519279,19520.0,43915.12,True,High Risk,High Price
ORD10067,C1090,P015,2023-03-01,1,24.99,0.0,South,Completed,24.99,Pooja Mehta,35,Female,Bangalore,South,2020-08-04,Gold,2020,683,26-35,22.766666666666666,Resistance Bands Set,Sports & Fitness,8.0,24.99,117,16.99,0.6798719487795117,936.0,2923.83,False,Normal,Low Price
